//编号	名称	外观编号&头像编号	等级	生命	内力	势力	非战斗移动速度	战斗移动速度	重生时间（毫秒）	可视距离	身体模型大小	自由活动范围	追踪范围	攻击值	防御值	闪避值	暴击值	攻击速度	怪物类型	攻击类型	携带经验	携带真气	血怪变身几率	攻怪变身几率	防怪变身几率	攻击间隔（间隔）	杀怪任务分组	逃跑条件	追击停止条件	移动类型	搜索目标间隔	停留时间下限	停留时间上限	技能ID	技能ID	技能ID	技能ID	技能ID
//【主城】	编号1-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
422	毒豺狼	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	422	0	0	1	5000	15	25	12000	12000	12000	12000	12000
423	邪术师	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	423	0	0	1	5000	15	25	12000	12000	12000	12000	12000
424	虬龙洞供奉	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	424	0	0	1	5000	15	25	12000	12000	12000	12000	12000
425	钢背蟹	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	425	0	0	1	5000	15	25	12000	12000	12000	12000	12000
426	尸衣教徒	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	426	0	0	1	5000	15	25	12000	12000	12000	12000	12000
427	尸衣刀斧手	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	427	0	0	1	5000	15	25	12000	12000	12000	12000	12000
428	十人杀(boss)	23	45	7234600	1102880	0	200	300	10000	500	250	400	10000	1113	154	440	235	3000	0	1	527	264	10	20	30	2000	84	0	0	1	5000	15	25	12000	12000	12000	12000	12000
429	五人杀(boss)	23	45	166040	25312	0	200	300	10000	500	250	400	10000	795	154	380	178	3000	0	1	507	254	10	20	30	2000	82	0	0	1	5000	15	25	12000	12000	12000	12000	12000
430	五人杀(boss)	23	45	166040	25312	0	200	300	10000	500	250	400	10000	795	154	380	178	3000	0	1	321	161	10	20	30	2000	83	0	0	1	5000	15	25	12000	12000	12000	12000	12000
431	五人杀(boss)	23	45	166040	25312	0	200	300	10000	500	250	400	10000	795	154	380	178	3000	0	1	527	264	10	20	30	2000	84	0	0	1	5000	15	25	12000	12000	12000	12000	12000
420	尸衣血徒	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	420	0	0	1	5000	15	25	12000	12000	12000	12000	12000
//【帝龙堡】	编号501-600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501	草原暴狼	24	48	5118	943	0	200	300	10000	500	100	400	10000	671	436	365	241	3000	0	1	603	10	10	20	30	2000	501	0	0	1	5000	15	25	12000	12000	12000	12000	12000
502	草原狼首	24	48	5118	943	0	200	300	10000	500	100	400	10000	671	436	365	241	3000	0	1	603	10	10	20	30	2000	502	0	0	1	5000	15	25	12000	12000	12000	12000	12000
503	绿冉蟒	24	48	5118	943	0	200	300	10000	500	100	400	10000	671	436	365	241	3000	0	1	603	10	10	20	30	2000	503	0	0	1	5000	15	25	12000	12000	12000	12000	12000
504	青角蟒	24	48	5118	943	0	200	300	10000	500	100	400	10000	671	436	365	241	3000	0	1	603	10	10	20	30	2000	504	0	0	1	5000	15	25	12000	12000	12000	12000	12000
505	百香宗弟子	24	52	5898	1083	0	200	300	10000	500	100	400	10000	772	501	420	277	3000	0	1	603	10	10	20	30	2000	505	0	0	1	5000	15	25	12000	12000	12000	12000	12000
506	香料傀儡	24	52	5898	1083	0	200	300	10000	500	100	400	10000	772	501	420	277	3000	0	1	603	10	10	20	30	2000	506	0	0	1	5000	15	25	12000	12000	12000	12000	12000
507	百香宗高手	24	53	6102	1120	0	200	300	10000	500	100	400	10000	799	518	434	287	3000	0	1	603	10	10	20	30	2000	507	0	0	1	5000	15	25	12000	12000	12000	12000	12000
508	香无忌	24	55	6519	1195	0	200	300	10000	500	100	400	10000	853	553	464	307	3000	0	1	603	10	10	20	30	2000	508	0	0	1	5000	15	25	12000	12000	12000	12000	12000
509	香料巨人	24	54	6308	1157	0	200	300	10000	500	100	400	10000	826	535	449	297	3000	0	1	603	10	10	20	30	2000	509	0	0	1	5000	15	25	12000	12000	12000	12000	12000
510	天水宫宫仆	24	51	5698	1048	0	200	300	10000	500	100	400	10000	746	484	406	268	3000	0	1	603	10	10	20	30	2000	510	0	0	1	5000	15	25	12000	12000	12000	12000	12000
511	天水宫男徒	24	49	5118	943	0	200	300	10000	500	100	400	10000	695	452	378	250	3000	0	1	603	10	10	20	30	2000	511	0	0	1	5000	15	25	12000	12000	12000	12000	12000
512	天水宫女徒	24	49	5118	943	0	200	300	10000	500	100	400	10000	695	452	378	250	3000	0	1	603	10	10	20	30	2000	512	0	0	1	5000	15	25	12000	12000	12000	12000	12000
513	天水宫侍女	24	50	5501	1012	0	200	300	10000	500	100	400	10000	721	468	392	259	3000	0	1	603	10	10	20	30	2000	513	0	0	1	5000	15	25	12000	12000	12000	12000	12000
514	天水宫信徒	24	49	5118	943	0	200	300	10000	500	100	400	10000	695	452	378	250	3000	0	1	603	10	10	20	30	2000	514	0	0	1	5000	15	25	12000	12000	12000	12000	12000
515	天水宫护法	24	50	5501	1012	0	200	300	10000	500	100	400	10000	721	468	392	259	3000	0	1	603	10	10	20	30	2000	515	0	0	1	5000	15	25	12000	12000	12000	12000	12000
516	天水宫暗者	24	50	5501	1012	0	200	300	10000	500	100	400	10000	721	468	392	259	3000	0	1	603	10	10	20	30	2000	516	0	0	1	5000	15	25	12000	12000	12000	12000	12000
517	天水宫护教	24	51	5698	1048	0	200	300	10000	500	100	400	10000	746	484	406	268	3000	0	1	603	10	10	20	30	2000	517	0	0	1	5000	15	25	12000	12000	12000	12000	12000
518	火铳门门人	24	52	5898	1083	0	200	300	10000	500	100	400	10000	772	501	420	277	3000	0	1	603	10	10	20	30	2000	518	0	0	1	5000	15	25	12000	12000	12000	12000	12000
519	火炮手	24	52	5898	1083	0	200	300	10000	500	100	400	10000	772	501	420	277	3000	0	1	603	10	10	20	30	2000	519	0	0	1	5000	15	25	12000	12000	12000	12000	12000
520	强炮手	24	54	6308	1157	0	200	300	10000	500	100	400	10000	826	535	449	297	3000	0	1	603	10	10	20	30	2000	520	0	0	1	5000	15	25	12000	12000	12000	12000	12000
521	火铳门高手	24	53	6102	1120	0	200	300	10000	500	100	400	10000	799	518	434	287	3000	0	1	603	10	10	20	30	2000	521	0	0	1	5000	15	25	12000	12000	12000	12000	12000
522	高龙	24	55	6519	1195	0	200	300	10000	500	100	400	10000	853	553	464	307	3000	0	1	603	10	10	20	30	2000	522	0	0	1	5000	15	25	12000	12000	12000	12000	12000
523	采花贼	24	51	5698	1048	0	200	300	10000	500	100	400	10000	746	484	406	268	3000	0	1	603	10	10	20	30	2000	523	0	0	1	5000	15	25	12000	12000	12000	12000	12000
525	采花贼头目	24	52	5898	1083	0	200	300	10000	500	100	400	10000	772	501	420	277	3000	0	1	603	10	10	20	30	2000	525	0	0	1	5000	15	25	12000	12000	12000	12000	12000
//【泽阳镇】	编号601-700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
601	长脚蚊	23	56	6732	1233	0	200	300	10000	500	100	400	10000	881	571	479	317	3000	0	1	603	10	10	20	30	2000	601	0	0	1	5000	15	25	12000	12000	12000	12000	12000
602	吸血蚊	23	56	6732	1233	0	200	300	10000	500	100	400	10000	881	571	479	317	3000	0	1	603	10	10	20	30	2000	602	0	0	1	5000	15	25	12000	12000	12000	12000	12000
603	剧毒蚊	23	56	6732	1233	0	200	300	10000	500	100	400	10000	881	571	479	317	3000	0	1	603	10	10	20	30	2000	603	0	0	1	5000	15	25	12000	12000	12000	12000	12000
604	血背蜈蚣	23	56	6732	1233	0	200	300	10000	500	100	400	10000	881	571	479	317	3000	0	1	603	10	10	20	30	2000	604	0	0	1	5000	15	25	12000	12000	12000	12000	12000
605	巨蜈蚣	23	57	6949	1272	0	200	300	10000	500	100	400	10000	909	589	494	327	3000	0	1	603	10	10	20	30	2000	605	0	0	1	5000	15	25	12000	12000	12000	12000	12000
606	裂牙蜈蚣	23	57	6949	1272	0	200	300	10000	500	100	400	10000	909	589	494	327	3000	0	1	603	10	10	20	30	2000	606	0	0	1	5000	15	25	12000	12000	12000	12000	12000
607	沼泽鳄鱼	23	57	6949	1272	0	200	300	10000	500	100	400	10000	909	589	494	327	3000	0	1	603	10	10	20	30	2000	607	0	0	1	5000	15	25	12000	12000	12000	12000	12000
608	沼泽巨鳄	23	58	7170	1312	0	200	300	10000	500	100	400	10000	938	607	510	337	3000	0	1	603	10	10	20	30	2000	608	0	0	1	5000	15	25	12000	12000	12000	12000	12000
609	毒牙鳄鱼	23	59	7394	1352	0	200	300	10000	500	100	400	10000	967	626	526	348	3000	0	1	603	10	10	20	30	2000	609	0	0	1	5000	15	25	12000	12000	12000	12000	12000
610	蛮人	23	58	7170	1312	0	200	300	10000	500	100	400	10000	938	607	510	337	3000	0	1	603	10	10	20	30	2000	610	0	0	1	5000	15	25	12000	12000	12000	12000	12000
611	蛮人勇士	23	59	7394	1352	0	200	300	10000	500	100	400	10000	967	626	526	348	3000	0	1	603	10	10	20	30	2000	611	0	0	1	5000	15	25	12000	12000	12000	12000	12000
612	蛮人大力士	23	59	7394	1352	0	200	300	10000	500	100	400	10000	967	626	526	348	3000	0	1	603	10	10	20	30	2000	612	0	0	1	5000	15	25	12000	12000	12000	12000	12000
613	蛮人巫师	23	60	7646	1397	0	200	300	10000	500	100	400	10000	1000	647	544	360	3000	0	1	603	10	10	20	30	2000	613	0	0	1	5000	15	25	12000	12000	12000	12000	12000
614	海寇	23	60	7646	1397	0	200	300	10000	500	100	400	10000	1000	647	544	360	3000	0	1	603	10	10	20	30	2000	614	0	0	1	5000	15	25	12000	12000	12000	12000	12000
615	海寇仆人	23	60	7646	1397	0	200	300	10000	500	100	400	10000	1000	647	544	360	3000	0	1	603	10	10	20	30	2000	615	0	0	1	5000	15	25	12000	12000	12000	12000	12000
616	海寇首领	23	61	7904	1444	0	200	300	10000	500	100	400	10000	1033	668	562	372	3000	0	1	603	10	10	20	30	2000	616	0	0	1	5000	15	25	12000	12000	12000	12000	12000
617	万邪教徒	23	61	7904	1444	0	200	300	10000	500	100	400	10000	1033	668	562	372	3000	0	1	603	10	10	20	30	2000	617	0	0	1	5000	15	25	12000	12000	12000	12000	12000
618	万邪教弟子	23	61	7904	1444	0	200	300	10000	500	100	400	10000	1033	668	562	372	3000	0	1	603	10	10	20	30	2000	618	0	0	1	5000	15	25	12000	12000	12000	12000	12000
619	万邪教杀手	23	62	8165	1490	0	200	300	10000	500	100	400	10000	1067	690	580	384	3000	0	1	603	10	10	20	30	2000	619	0	0	1	5000	15	25	12000	12000	12000	12000	12000
620	万邪神秘人	23	62	8165	1490	0	200	300	10000	500	100	400	10000	1067	690	580	384	3000	0	1	603	10	10	20	30	2000	620	0	0	1	5000	15	25	12000	12000	12000	12000	12000
//【乱葬岗】	编号701-800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
//【云梦山】	编号801-900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
//【大戈壁】	编号901-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
//【宁武关】	编号1001-1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
//【副本测试怪】																																						
2000	普通怪	24	12	838	174	0	100	200	10000	500	100	0	3000	114	78	61	39	1500	0	1	0	0	10	20	30	2000	2000	0	0	1	5000	5	15	12000	12000	12000	12000	12000
2001	速度较快	24	12	838	174	0	200	400	10000	500	100	0	3000	114	78	61	39	1500	0	1	0	0	10	20	30	2000	2001	0	0	1	5000	5	15	12000	12000	12000	12000	12000
2002	防御较高	24	12	838	174	0	100	200	10000	500	100	0	3000	114	78	61	39	1500	0	1	0	0	10	20	30	2000	2002	0	0	1	5000	5	15	12000	12000	12000	12000	12000
2003	生命较多	24	13	918	188	0	100	200	10000	500	100	0	3000	124	85	67	43	1500	0	1	0	0	10	20	30	2000	2003	0	0	1	5000	5	15	12000	12000	12000	12000	12000
2004	躲闪较高	24	13	918	188	0	100	200	10000	500	100	0	3000	124	85	67	43	1500	0	1	0	0	10	20	30	2000	2004	0	0	1	5000	5	15	12000	12000	12000	12000	12000
2005	速度很快	24	13	918	188	0	400	800	10000	500	100	0	3000	124	85	67	43	1500	0	1	0	0	10	20	30	2000	2005	0	0	1	5000	5	15	12000	12000	12000	12000	12000
2006	防御很高	24	13	918	188	0	100	200	10000	500	100	0	3000	124	85	67	43	1500	0	1	0	0	10	20	30	2000	2006	0	0	1	5000	5	15	12000	12000	12000	12000	12000
2007	生命很多	24	14	1000	203	0	100	200	10000	500	100	0	3000	135	92	73	47	1500	0	1	0	0	10	20	30	2000	2007	0	0	1	5000	5	15	12000	12000	12000	12000	12000
2008	躲闪很高	24	14	1000	203	0	100	200	10000	500	100	0	3000	135	92	73	47	1500	0	1	0	0	10	20	30	2000	2008	0	0	1	5000	5	15	12000	12000	12000	12000	12000
2009	老唐	24	15	1083	218	0	300	600	10000	500	499	0	3000	146	99	78	51	1500	0	1	1150	264	10	20	30	2000	2009	0	0	1	5000	5	15	12001	12001	12008	12008	12008
