技能名称	编号	类型	学习等级	学习金钱	学习任务1	学习任务2	学习任务3	关联武功1	关联武功1等级	关联武功2	关联武功2等级	关联武功3	关联武功3等级	关联武功4	关联武功4等级	武器	动作ID	特效名字	特效高度	声音
空刃落七星	240	1	50	0	0	0	0	0	0	0	0	0	0	0	0	10810	64	降龙十八掌	20	0.wav
斗酒醉西星	241	1	85	0	0	0	0	0	0	0	0	0	0	0	0	10810	65	降龙十八掌	20	0.wav
星挑西王母	242	1	95	0	0	0	0	0	0	0	0	0	0	0	0	10810	66	降龙十八掌	20	0.wav
夜落星河影	243	1	105	0	0	0	0	0	0	0	0	0	0	0	0	10810	67	降龙十八掌	20	0.wav
点穴截脉	244	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
四封四闭	245	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
反转乾坤	246	1	100	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
反转阴阳	247	1	100	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
悬丝引气	248	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
空手白刃	249	1	90	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
脱袍卸甲	250	1	90	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
狮子吼	251	1	70	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
凌空渡虚	252	1	80	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
涡旋劲	253	1	80	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
幻魔相	254	1	70	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
移山压顶	255	1	60	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
千斤坠	256	1	60	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
斩铁劲	257	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
岩打劲	258	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
回春术	259	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
回天术	260	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10810	68	降龙十八掌	20	0.wav
一苇渡江	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
踏雪无痕	2	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
轻身术	3	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
青门引	4	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
凌云决	5	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
达摩心经	6	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
雪泥鸿爪	7	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	降龙十八掌	20	0.wav
踏雪飞鸿	8	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
花飞蝶舞	9	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
芳草渡	10	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
清风拂桂	11	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
蜻蜓点水	12	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
纵云梯	13	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	降龙十八掌	20	0.wav
八卦步	14	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
鹤冲天 	15	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
凌虚飘行	16	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
清风拂云	17	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
天罡北斗	18	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
天马行空	19	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	降龙十八掌	20	0.wav
苍龙行水	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
望远行	21	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
怒火狂风	22	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
狂风扫叶	23	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
乾坤大挪移	24	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
凌波微步	25	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	降龙十八掌	20	0.wav
神行百变	26	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
清风拂云	27	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
九泉魂落	28	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
北溟逍遥游	29	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
斗转星移	30	2	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
金钟罩	1	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
铁布衫	2	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
金刚不坏身	3	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
菩提无树	4	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
明镜非台	5	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
还施彼身	6	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
韧如丝	7	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
绕指柔	8	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
不死劫	9	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
残红未退	10	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
藕断丝连	11	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
移花接木	12	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
顽石点头	13	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
心外无物	14	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
生生不息	15	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
护命妙经	16	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
度厄真经	17	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
借力打力	18	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
磐石无转移	19	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
明王不动	20	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
再受命	21	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
光明引	22	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
圣火引	23	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
以牙还牙	24	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
天罡护体	25	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
地煞加身	26	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
七星借命法	27	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
祛难法	28	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
化劫法	29	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
李代桃僵	30	3	140	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
洗髓经	1	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
混元一气功	2	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
大无相功	3	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
玄元经	4	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
丹田吐纳功	5	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
玄门吐纳功	6	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
龙象般若功	7	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
紫霞功	8	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
小无相功	9	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
地灵真经	10	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
鸿蒙紫气	11	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
拳诀·大金刚力	12	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
杖诀·须弥山力	13	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
剑诀·荡剑回风	14	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
笔诀·落笔成兵	15	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
刺诀·红拂袖	16	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
琴诀·玉指冰弦	17	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
刀诀·玄玄刀经	18	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
戟诀·地涌天泉	19	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
勾诀·吠陀宝鉴	20	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
轮诀·阴阳决	21	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
金针度世	22	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	0.wav
一阳正气	23	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
罗汉伏魔神功	24	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
太玄神功	25	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
鲸息功	26	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
吐纳法	27	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
抱元守一	28	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
如封似闭	29	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
三分归元气	30	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
人器相御	31	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
物我由心	32	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
如如不动	33	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
虎生翼	34	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
听声辨位	35	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
灵猿渡	36	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
龙飞天	37	4	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	降龙十八掌	20	1.wav
