//名称	编号	技能等级	升级需求真气值	升级需求钱	门派	技能类型	技能属性 7 自己冲锋 8 击退目标	技能子属性	技能基础攻击	攻击方式	冷却组	本身冷却时间	技能最大距离	技能最小距离	技能攻击半径	技能攻击宽度	攻击人数	消耗MP	消耗HP	击退距离	仇恨值	是否是普通技能	伤害比率	眩晕状态下可否使用	子弹ID	吟唱时间	技能ICON	技能描述	技能效果	ICON位置	技能出处	技能对应技能书ID	消耗道具ID	每次消耗道具数量	技能激活需要人物等级
破风之刃	12301	89	64798	41273	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	1900	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击239%伤害	伤害239%	1000	商店出售	211001	0	0	89
破风之刃	12301	90	65518	41731	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	1920	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击240%伤害	伤害240%	1000	商店出售	211001	0	0	90
破风之刃	12301	91	66238	42190	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	1940	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击241%伤害	伤害241%	1000	商店出售	211001	0	0	91
破风之刃	12301	92	66958	42649	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	1960	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击242%伤害	伤害242%	1000	商店出售	211001	0	0	92
破风之刃	12301	93	67678	43107	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	1980	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击243%伤害	伤害243%	1000	商店出售	211001	0	0	93
破风之刃	12301	94	68398	43566	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	2000	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击244%伤害	伤害244%	1000	商店出售	211001	0	0	94
破风之刃	12301	95	69118	44024	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	2020	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击245%伤害	伤害245%	1000	商店出售	211001	0	0	95
破风之刃	12301	96	69838	44483	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	2040	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击246%伤害	伤害246%	1000	商店出售	211001	0	0	96
破风之刃	12301	97	70558	44942	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	2060	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击247%伤害	伤害247%	1000	商店出售	211001	0	0	97
破风之刃	12301	98	71278	45400	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	2080	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击248%伤害	伤害248%	1000	商店出售	211001	0	0	98
破风之刃	12301	99	71998	45859	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	2100	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击249%伤害	伤害249%	1000	商店出售	211001	0	0	99
破风之刃	12301	100	71998	45859	3	5	8	0	0	2	0	5	200	10	300	90	1000	1	0	100	0	0	2120	0	0	0	900000	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击250%伤害	伤害250%	1000	商店出售	211001	0	0	100
跳跃风裂斩	12302	1	2160	1376	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	120	0	0	0	900000	向前方移动200米，对移动路径中的所有目标造成基础伤害的121%伤害	伤害121%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	2	3240	2064	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	130	0	0	0	900000	向前方移动200米，对移动路径中的所有目标造成基础伤害的122%伤害	伤害122%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	3	4320	2752	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	140	0	0	0	900000	向前方移动200米，对移动路径中的所有目标造成基础伤害的123%伤害	伤害123%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	4	5400	3439	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	150	0	0	0	900000	向前方移动200米，对移动路径中的所有目标造成基础伤害的124%伤害	伤害124%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	5	6480	4127	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	160	0	0	0	900000	向前方移动200米，对移动路径中的所有目标造成基础伤害的125%伤害	伤害125%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	6	7560	4815	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	170	0	0	0	900000	向前方移动200米，对移动路径中的所有目标造成基础伤害的126%伤害	伤害126%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	7	8640	5503	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	180	0	0	0	900000	向前方移动200米，对移动路径中的所有目标造成基础伤害的127%伤害	伤害127%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	8	9720	6191	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	190	0	0	0	900000	向前方移动200米，对移动路径中的所有目标造成基础伤害的128%伤害	伤害128%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	9	10800	6879	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	200	0	0	0	900000	向前方移动200米，对移动路径中的所有目标造成基础伤害的129%伤害	伤害129%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	10	11880	7567	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	210	0	0	0	900000	向前方移动220米，对移动路径中的所有目标造成基础伤害的130%伤害	移动220米，伤害130%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	11	12960	8255	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	220	0	0	0	900000	向前方移动220米，对移动路径中的所有目标造成基础伤害的131%伤害	伤害131%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	12	14040	8942	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	230	0	0	0	900000	向前方移动220米，对移动路径中的所有目标造成基础伤害的132%伤害	伤害132%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	13	15120	9630	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	240	0	0	0	900000	向前方移动220米，对移动路径中的所有目标造成基础伤害的133%伤害	伤害133%	1000	商店出售	211001	0	0	13
跳跃风裂斩	12302	14	16200	10318	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	250	0	0	0	900000	向前方移动220米，对移动路径中的所有目标造成基础伤害的134%伤害	伤害134%	1000	商店出售	211001	0	0	14
跳跃风裂斩	12302	15	17280	11006	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	260	0	0	0	900000	向前方移动220米，对移动路径中的所有目标造成基础伤害的135%伤害	伤害135%	1000	商店出售	211001	0	0	15
跳跃风裂斩	12302	16	18360	11694	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	270	0	0	0	900000	向前方移动220米，对移动路径中的所有目标造成基础伤害的136%伤害	伤害136%	1000	商店出售	211001	0	0	16
跳跃风裂斩	12302	17	19440	12382	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	280	0	0	0	900000	向前方移动220米，对移动路径中的所有目标造成基础伤害的137%伤害	伤害137%	1000	商店出售	211001	0	0	17
跳跃风裂斩	12302	18	20519	13070	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	290	0	0	0	900000	向前方移动220米，对移动路径中的所有目标造成基础伤害的138%伤害	伤害138%	1000	商店出售	211001	0	0	18
跳跃风裂斩	12302	19	21599	13758	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	300	0	0	0	900000	向前方移动220米，对移动路径中的所有目标造成基础伤害的139%伤害	伤害139%	1000	商店出售	211001	0	0	19
跳跃风裂斩	12302	20	22679	14445	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	310	0	0	0	900000	向前方移动240米，对移动路径中的所有目标造成基础伤害的140%伤害	移动240米，伤害140%	1000	商店出售	211001	0	0	20
跳跃风裂斩	12302	21	23759	15133	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	320	0	0	0	900000	向前方移动240米，对移动路径中的所有目标造成基础伤害的141%伤害	伤害141%	1000	商店出售	211001	0	0	21
跳跃风裂斩	12302	22	24839	15821	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	330	0	0	0	900000	向前方移动240米，对移动路径中的所有目标造成基础伤害的142%伤害	伤害142%	1000	商店出售	211001	0	0	22
跳跃风裂斩	12302	23	25919	16509	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	340	0	0	0	900000	向前方移动240米，对移动路径中的所有目标造成基础伤害的143%伤害	伤害143%	1000	商店出售	211001	0	0	23
跳跃风裂斩	12302	24	26999	17197	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	350	0	0	0	900000	向前方移动240米，对移动路径中的所有目标造成基础伤害的144%伤害	伤害144%	1000	商店出售	211001	0	0	24
跳跃风裂斩	12302	25	28079	17885	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	360	0	0	0	900000	向前方移动240米，对移动路径中的所有目标造成基础伤害的145%伤害	伤害145%	1000	商店出售	211001	0	0	25
跳跃风裂斩	12302	26	29159	18573	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	370	0	0	0	900000	向前方移动240米，对移动路径中的所有目标造成基础伤害的146%伤害	伤害146%	1000	商店出售	211001	0	0	26
跳跃风裂斩	12302	27	30239	19261	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	380	0	0	0	900000	向前方移动240米，对移动路径中的所有目标造成基础伤害的147%伤害	伤害147%	1000	商店出售	211001	0	0	27
跳跃风裂斩	12302	28	31319	19949	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	390	0	0	0	900000	向前方移动240米，对移动路径中的所有目标造成基础伤害的148%伤害	伤害148%	1000	商店出售	211001	0	0	28
跳跃风裂斩	12302	29	32399	20636	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	400	0	0	0	900000	向前方移动240米，对移动路径中的所有目标造成基础伤害的149%伤害	伤害149%	1000	商店出售	211001	0	0	29
跳跃风裂斩	12302	30	33479	21324	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	410	0	0	0	900000	向前方移动260米，对移动路径中的所有目标造成基础伤害的150%伤害	移动280米，伤害150%	1000	商店出售	211001	0	0	30
跳跃风裂斩	12302	31	34559	22012	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	420	0	0	0	900000	向前方移动260米，对移动路径中的所有目标造成基础伤害的151%伤害	伤害151%	1000	商店出售	211001	0	0	31
跳跃风裂斩	12302	32	35639	22700	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	430	0	0	0	900000	向前方移动260米，对移动路径中的所有目标造成基础伤害的152%伤害	伤害152%	1000	商店出售	211001	0	0	32
跳跃风裂斩	12302	33	36719	23388	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	440	0	0	0	900000	向前方移动260米，对移动路径中的所有目标造成基础伤害的153%伤害	伤害153%	1000	商店出售	211001	0	0	33
跳跃风裂斩	12302	34	37799	24076	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	450	0	0	0	900000	向前方移动260米，对移动路径中的所有目标造成基础伤害的154%伤害	伤害154%	1000	商店出售	211001	0	0	34
跳跃风裂斩	12302	35	38879	24764	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	460	0	0	0	900000	向前方移动260米，对移动路径中的所有目标造成基础伤害的155%伤害	伤害155%	1000	商店出售	211001	0	0	35
跳跃风裂斩	12302	36	39959	25452	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	470	0	0	0	900000	向前方移动260米，对移动路径中的所有目标造成基础伤害的156%伤害	伤害156%	1000	商店出售	211001	0	0	36
跳跃风裂斩	12302	37	41039	26139	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	480	0	0	0	900000	向前方移动260米，对移动路径中的所有目标造成基础伤害的157%伤害	伤害157%	1000	商店出售	211001	0	0	37
跳跃风裂斩	12302	38	42119	26827	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	490	0	0	0	900000	向前方移动260米，对移动路径中的所有目标造成基础伤害的158%伤害	伤害158%	1000	商店出售	211001	0	0	38
跳跃风裂斩	12302	39	43199	27515	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	500	0	0	0	900000	向前方移动260米，对移动路径中的所有目标造成基础伤害的159%伤害	伤害159%	1000	商店出售	211001	0	0	39
跳跃风裂斩	12302	40	44279	28203	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	510	0	0	0	900000	向前方移动280米，对移动路径中的所有目标造成基础伤害的160%伤害	移动300米，伤害160%	1000	商店出售	211001	0	0	40
跳跃风裂斩	12302	41	45359	28891	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	520	0	0	0	900000	向前方移动280米，对移动路径中的所有目标造成基础伤害的161%伤害	伤害161%	1000	商店出售	211001	0	0	41
跳跃风裂斩	12302	42	46439	29579	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	530	0	0	0	900000	向前方移动280米，对移动路径中的所有目标造成基础伤害的162%伤害	伤害162%	1000	商店出售	211001	0	0	42
跳跃风裂斩	12302	43	47519	30267	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	540	0	0	0	900000	向前方移动280米，对移动路径中的所有目标造成基础伤害的163%伤害	伤害163%	1000	商店出售	211001	0	0	43
跳跃风裂斩	12302	44	48599	30955	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	550	0	0	0	900000	向前方移动280米，对移动路径中的所有目标造成基础伤害的164%伤害	伤害164%	1000	商店出售	211001	0	0	44
跳跃风裂斩	12302	45	49679	31643	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	560	0	0	0	900000	向前方移动280米，对移动路径中的所有目标造成基础伤害的165%伤害	伤害165%	1000	商店出售	211001	0	0	45
跳跃风裂斩	12302	46	50759	32330	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	570	0	0	0	900000	向前方移动280米，对移动路径中的所有目标造成基础伤害的166%伤害	伤害166%	1000	商店出售	211001	0	0	46
跳跃风裂斩	12302	47	51839	33018	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	580	0	0	0	900000	向前方移动280米，对移动路径中的所有目标造成基础伤害的167%伤害	伤害167%	1000	商店出售	211001	0	0	47
跳跃风裂斩	12302	48	52919	33706	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	590	0	0	0	900000	向前方移动280米，对移动路径中的所有目标造成基础伤害的168%伤害	伤害168%	1000	商店出售	211001	0	0	48
跳跃风裂斩	12302	49	53999	34394	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	600	0	0	0	900000	向前方移动280米，对移动路径中的所有目标造成基础伤害的169%伤害	伤害169%	1000	商店出售	211001	0	0	49
跳跃风裂斩	12302	50	55079	35082	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	610	0	0	0	900000	向前方移动300米，对移动路径中的所有目标造成基础伤害的170%伤害	移动320米，伤害170%	1000	商店出售	211001	0	0	50
跳跃风裂斩	12302	51	56159	35770	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	620	0	0	0	900000	向前方移动300米，对移动路径中的所有目标造成基础伤害的171%伤害	伤害171%	1000	商店出售	211001	0	0	51
跳跃风裂斩	12302	52	57239	36458	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	630	0	0	0	900000	向前方移动300米，对移动路径中的所有目标造成基础伤害的172%伤害	伤害172%	1000	商店出售	211001	0	0	52
跳跃风裂斩	12302	53	58319	37146	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	640	0	0	0	900000	向前方移动300米，对移动路径中的所有目标造成基础伤害的173%伤害	伤害173%	1000	商店出售	211001	0	0	53
跳跃风裂斩	12302	54	59399	37833	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	650	0	0	0	900000	向前方移动300米，对移动路径中的所有目标造成基础伤害的174%伤害	伤害174%	1000	商店出售	211001	0	0	54
跳跃风裂斩	12302	55	60478	38521	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	660	0	0	0	900000	向前方移动300米，对移动路径中的所有目标造成基础伤害的175%伤害	伤害175%	1000	商店出售	211001	0	0	55
跳跃风裂斩	12302	56	61558	39209	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	670	0	0	0	900000	向前方移动300米，对移动路径中的所有目标造成基础伤害的176%伤害	伤害176%	1000	商店出售	211001	0	0	56
跳跃风裂斩	12302	57	62638	39897	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	680	0	0	0	900000	向前方移动300米，对移动路径中的所有目标造成基础伤害的177%伤害	伤害177%	1000	商店出售	211001	0	0	57
跳跃风裂斩	12302	58	63718	40585	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	690	0	0	0	900000	向前方移动300米，对移动路径中的所有目标造成基础伤害的178%伤害	伤害178%	1000	商店出售	211001	0	0	58
跳跃风裂斩	12302	59	64798	41273	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	700	0	0	0	900000	向前方移动300米，对移动路径中的所有目标造成基础伤害的179%伤害	伤害179%	1000	商店出售	211001	0	0	59
跳跃风裂斩	12302	60	65878	41961	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	710	0	0	0	900000	向前方移动320米，对移动路径中的所有目标造成基础伤害的180%伤害	移动340米，伤害180%	1000	商店出售	211001	0	0	60
跳跃风裂斩	12302	61	66958	42649	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	720	0	0	0	900000	向前方移动320米，对移动路径中的所有目标造成基础伤害的181%伤害	伤害181%	1000	商店出售	211001	0	0	61
跳跃风裂斩	12302	62	68038	43336	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	730	0	0	0	900000	向前方移动320米，对移动路径中的所有目标造成基础伤害的182%伤害	伤害182%	1000	商店出售	211001	0	0	62
跳跃风裂斩	12302	63	69118	44024	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	740	0	0	0	900000	向前方移动320米，对移动路径中的所有目标造成基础伤害的183%伤害	伤害183%	1000	商店出售	211001	0	0	63
跳跃风裂斩	12302	64	70198	44712	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	750	0	0	0	900000	向前方移动320米，对移动路径中的所有目标造成基础伤害的184%伤害	伤害184%	1000	商店出售	211001	0	0	64
跳跃风裂斩	12302	65	71278	45400	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	760	0	0	0	900000	向前方移动320米，对移动路径中的所有目标造成基础伤害的185%伤害	伤害185%	1000	商店出售	211001	0	0	65
跳跃风裂斩	12302	66	72358	46088	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	770	0	0	0	900000	向前方移动320米，对移动路径中的所有目标造成基础伤害的186%伤害	伤害186%	1000	商店出售	211001	0	0	66
跳跃风裂斩	12302	67	73438	46776	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	780	0	0	0	900000	向前方移动320米，对移动路径中的所有目标造成基础伤害的187%伤害	伤害187%	1000	商店出售	211001	0	0	67
跳跃风裂斩	12302	68	74518	47464	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	790	0	0	0	900000	向前方移动320米，对移动路径中的所有目标造成基础伤害的188%伤害	伤害188%	1000	商店出售	211001	0	0	68
跳跃风裂斩	12302	69	75598	48152	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	800	0	0	0	900000	向前方移动320米，对移动路径中的所有目标造成基础伤害的189%伤害	伤害189%	1000	商店出售	211001	0	0	69
跳跃风裂斩	12302	70	76678	48840	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	810	0	0	0	900000	向前方移动340米，对移动路径中的所有目标造成基础伤害的190%伤害	移动360米，伤害190%	1000	商店出售	211001	0	0	70
跳跃风裂斩	12302	71	77758	49527	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	820	0	0	0	900000	向前方移动340米，对移动路径中的所有目标造成基础伤害的191%伤害	伤害191%	1000	商店出售	211001	0	0	71
跳跃风裂斩	12302	72	78838	50215	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	830	0	0	0	900000	向前方移动340米，对移动路径中的所有目标造成基础伤害的192%伤害	伤害192%	1000	商店出售	211001	0	0	72
跳跃风裂斩	12302	73	79918	50903	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	840	0	0	0	900000	向前方移动340米，对移动路径中的所有目标造成基础伤害的193%伤害	伤害193%	1000	商店出售	211001	0	0	73
跳跃风裂斩	12302	74	80998	51591	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	850	0	0	0	900000	向前方移动340米，对移动路径中的所有目标造成基础伤害的194%伤害	伤害194%	1000	商店出售	211001	0	0	74
跳跃风裂斩	12302	75	82078	52279	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	860	0	0	0	900000	向前方移动340米，对移动路径中的所有目标造成基础伤害的195%伤害	伤害195%	1000	商店出售	211001	0	0	75
跳跃风裂斩	12302	76	83158	52967	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	870	0	0	0	900000	向前方移动340米，对移动路径中的所有目标造成基础伤害的196%伤害	伤害196%	1000	商店出售	211001	0	0	76
跳跃风裂斩	12302	77	84238	53655	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	880	0	0	0	900000	向前方移动340米，对移动路径中的所有目标造成基础伤害的197%伤害	伤害197%	1000	商店出售	211001	0	0	77
跳跃风裂斩	12302	78	85318	54343	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	890	0	0	0	900000	向前方移动340米，对移动路径中的所有目标造成基础伤害的198%伤害	伤害198%	1000	商店出售	211001	0	0	78
跳跃风裂斩	12302	79	86398	55030	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	900	0	0	0	900000	向前方移动340米，对移动路径中的所有目标造成基础伤害的199%伤害	伤害199%	1000	商店出售	211001	0	0	79
跳跃风裂斩	12302	80	87478	55718	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	910	0	0	0	900000	向前方移动360米，对移动路径中的所有目标造成基础伤害的200%伤害	移动380米，伤害200%	1000	商店出售	211001	0	0	80
跳跃风裂斩	12302	81	88558	56406	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	920	0	0	0	900000	向前方移动360米，对移动路径中的所有目标造成基础伤害的201%伤害	伤害201%	1000	商店出售	211001	0	0	81
跳跃风裂斩	12302	82	89638	57094	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	930	0	0	0	900000	向前方移动360米，对移动路径中的所有目标造成基础伤害的202%伤害	伤害202%	1000	商店出售	211001	0	0	82
跳跃风裂斩	12302	83	90718	57782	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	940	0	0	0	900000	向前方移动360米，对移动路径中的所有目标造成基础伤害的203%伤害	伤害203%	1000	商店出售	211001	0	0	83
跳跃风裂斩	12302	84	91798	58470	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	950	0	0	0	900000	向前方移动360米，对移动路径中的所有目标造成基础伤害的204%伤害	伤害204%	1000	商店出售	211001	0	0	84
跳跃风裂斩	12302	85	92878	59158	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	960	0	0	0	900000	向前方移动360米，对移动路径中的所有目标造成基础伤害的205%伤害	伤害205%	1000	商店出售	211001	0	0	85
跳跃风裂斩	12302	86	93958	59846	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	970	0	0	0	900000	向前方移动360米，对移动路径中的所有目标造成基础伤害的206%伤害	伤害206%	1000	商店出售	211001	0	0	86
跳跃风裂斩	12302	87	95038	60534	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	980	0	0	0	900000	向前方移动360米，对移动路径中的所有目标造成基础伤害的207%伤害	伤害207%	1000	商店出售	211001	0	0	87
跳跃风裂斩	12302	88	96118	61221	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	990	0	0	0	900000	向前方移动360米，对移动路径中的所有目标造成基础伤害的208%伤害	伤害208%	1000	商店出售	211001	0	0	88
跳跃风裂斩	12302	89	97198	61909	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	1000	0	0	0	900000	向前方移动360米，对移动路径中的所有目标造成基础伤害的209%伤害	伤害209%	1000	商店出售	211001	0	0	89
跳跃风裂斩	12302	90	98278	62597	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	1010	0	0	0	900000	向前方移动380米，对移动路径中的所有目标造成基础伤害的210%伤害	移动400米，伤害210%	1000	商店出售	211001	0	0	90
跳跃风裂斩	12302	91	99358	63285	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	1020	0	0	0	900000	向前方移动380米，对移动路径中的所有目标造成基础伤害的211%伤害	伤害211%	1000	商店出售	211001	0	0	91
跳跃风裂斩	12302	92	100437	63973	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	1030	0	0	0	900000	向前方移动380米，对移动路径中的所有目标造成基础伤害的212%伤害	伤害212%	1000	商店出售	211001	0	0	92
跳跃风裂斩	12302	93	101517	64661	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	1040	0	0	0	900000	向前方移动380米，对移动路径中的所有目标造成基础伤害的213%伤害	伤害213%	1000	商店出售	211001	0	0	93
跳跃风裂斩	12302	94	102597	65349	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	1050	0	0	0	900000	向前方移动380米，对移动路径中的所有目标造成基础伤害的214%伤害	伤害214%	1000	商店出售	211001	0	0	94
跳跃风裂斩	12302	95	103677	66037	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	1060	0	0	0	900000	向前方移动380米，对移动路径中的所有目标造成基础伤害的215%伤害	伤害215%	1000	商店出售	211001	0	0	95
跳跃风裂斩	12302	96	104757	66724	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	1070	0	0	0	900000	向前方移动380米，对移动路径中的所有目标造成基础伤害的216%伤害	伤害216%	1000	商店出售	211001	0	0	96
跳跃风裂斩	12302	97	105837	67412	3	5	8	0	0	2	0	8	200	10	300	15	1	1	0	0	0	0	1080	0	0	0	900000	向前方移动380米，对移动路径中的所有目标造成基础伤害的217%伤害	伤害217%	1000	商店出售	211001	0	0	97
