//属性ID	装备类型	装备等级	装备品级	1阶增加的属性	2阶增加的属性	3阶增加的属性	4阶增加的属性	5阶增加的属性	6阶增加的属性	7阶增加的属性	8阶增加的属性	9阶增加的属性	10阶增加的属性
//武器													
11001003	110	10	3	0	8	9	10	11	12	13	14	15	16
11001004	110	10	4	0	9	10	11	12	13	14	15	16	17
11001005	110	10	5	0	10	11	12	13	14	15	16	17	18
11002001	110	20	1	0	11	12	13	14	15	16	17	18	19
11002002	110	20	2	0	12	13	14	15	16	17	18	19	20
11002003	110	20	3	0	13	14	15	16	17	18	19	20	21
11002004	110	20	4	0	14	15	16	17	18	19	20	21	22
11002005	110	20	5	0	15	16	17	18	19	20	21	22	23
11003001	110	30	1	0	16	17	18	19	20	21	22	23	24
11003002	110	30	2	0	17	18	19	20	21	22	23	24	25
11003003	110	30	3	0	18	19	20	21	22	23	24	25	26
11003004	110	30	4	0	19	20	21	22	23	24	25	26	27
11003005	110	30	5	0	20	21	22	23	24	25	26	27	28
11004001	110	40	1	0	21	22	23	24	25	26	27	28	29
11004002	110	40	2	0	22	23	24	25	26	27	28	29	30
11004003	110	40	3	0	23	24	25	26	27	28	29	30	31
11004004	110	40	4	0	24	25	26	27	28	29	30	31	32
11004005	110	40	5	0	25	26	27	28	29	30	31	32	33
11005001	110	50	1	0	26	27	28	29	30	31	32	33	34
11005002	110	50	2	0	27	28	29	30	31	32	33	34	35
11005003	110	50	3	0	28	29	30	31	32	33	34	35	36
11005004	110	50	4	0	29	30	31	32	33	34	35	36	37
11005005	110	50	5	0	30	31	32	33	34	35	36	37	38
11006001	110	60	1	0	31	32	33	34	35	36	37	38	39
11006002	110	60	2	0	32	33	34	35	36	37	38	39	40
11006003	110	60	3	0	33	34	35	36	37	38	39	40	41
11006004	110	60	4	0	34	35	36	37	38	39	40	41	42
11006005	110	60	5	0	35	36	37	38	39	40	41	42	43
11006501	110	65	1	0	36	37	38	39	40	41	42	43	44
11006502	110	65	2	0	37	38	39	40	41	42	43	44	45
11006503	110	65	3	0	38	39	40	41	42	43	44	45	46
11006504	110	65	4	0	39	40	41	42	43	44	45	46	47
11006505	110	65	5	0	40	41	42	43	44	45	46	47	48
11007001	110	70	1	0	41	42	43	44	45	46	47	48	49
11007002	110	70	2	0	42	43	44	45	46	47	48	49	50
11007003	110	70	3	0	43	44	45	46	47	48	49	50	51
11007004	110	70	4	0	44	45	46	47	48	49	50	51	52
11007005	110	70	5	0	45	46	47	48	49	50	51	52	53
11007501	110	75	1	0	46	47	48	49	50	51	52	53	54
11007502	110	75	2	0	47	48	49	50	51	52	53	54	55
11007503	110	75	3	0	48	49	50	51	52	53	54	55	56
11007504	110	75	4	0	49	50	51	52	53	54	55	56	57
11007505	110	75	5	0	50	51	52	53	54	55	56	57	58
//戒指													
11100101	111	1	1	0	1	2	3	4	5	6	7	8	9
11100102	111	1	2	0	2	3	4	5	6	7	8	9	10
11100103	111	1	3	0	3	4	5	6	7	8	9	10	11
11100104	111	1	4	0	4	5	6	7	8	9	10	11	12
11100105	111	1	5	0	5	6	7	8	9	10	11	12	13
11101001	111	10	1	0	6	7	8	9	10	11	12	13	14
11101002	111	10	2	0	7	8	9	10	11	12	13	14	15
11101003	111	10	3	0	8	9	10	11	12	13	14	15	16
11101004	111	10	4	0	9	10	11	12	13	14	15	16	17
11101005	111	10	5	0	10	11	12	13	14	15	16	17	18
11102001	111	20	1	0	11	12	13	14	15	16	17	18	19
11102002	111	20	2	0	12	13	14	15	16	17	18	19	20
11102003	111	20	3	0	13	14	15	16	17	18	19	20	21
11102004	111	20	4	0	14	15	16	17	18	19	20	21	22
11102005	111	20	5	0	15	16	17	18	19	20	21	22	23
11103001	111	30	1	0	16	17	18	19	20	21	22	23	24
11103002	111	30	2	0	17	18	19	20	21	22	23	24	25
11103003	111	30	3	0	18	19	20	21	22	23	24	25	26
11103004	111	30	4	0	19	20	21	22	23	24	25	26	27
11103005	111	30	5	0	20	21	22	23	24	25	26	27	28
11104001	111	40	1	0	21	22	23	24	25	26	27	28	29
11104002	111	40	2	0	22	23	24	25	26	27	28	29	30
11104003	111	40	3	0	23	24	25	26	27	28	29	30	31
11104004	111	40	4	0	24	25	26	27	28	29	30	31	32
11104005	111	40	5	0	25	26	27	28	29	30	31	32	33
11105001	111	50	1	0	26	27	28	29	30	31	32	33	34
11105002	111	50	2	0	27	28	29	30	31	32	33	34	35
11105003	111	50	3	0	28	29	30	31	32	33	34	35	36
11105004	111	50	4	0	29	30	31	32	33	34	35	36	37
11105005	111	50	5	0	30	31	32	33	34	35	36	37	38
11106001	111	60	1	0	31	32	33	34	35	36	37	38	39
11106002	111	60	2	0	32	33	34	35	36	37	38	39	40
11106003	111	60	3	0	33	34	35	36	37	38	39	40	41
11106004	111	60	4	0	34	35	36	37	38	39	40	41	42
11106005	111	60	5	0	35	36	37	38	39	40	41	42	43
11106501	111	65	1	0	36	37	38	39	40	41	42	43	44
11106502	111	65	2	0	37	38	39	40	41	42	43	44	45
11106503	111	65	3	0	38	39	40	41	42	43	44	45	46
11106504	111	65	4	0	39	40	41	42	43	44	45	46	47
11106505	111	65	5	0	40	41	42	43	44	45	46	47	48
11107001	111	70	1	0	41	42	43	44	45	46	47	48	49
11107002	111	70	2	0	42	43	44	45	46	47	48	49	50
11107003	111	70	3	0	43	44	45	46	47	48	49	50	51
11107004	111	70	4	0	44	45	46	47	48	49	50	51	52
11107005	111	70	5	0	45	46	47	48	49	50	51	52	53
11107501	111	75	1	0	46	47	48	49	50	51	52	53	54
11107502	111	75	2	0	47	48	49	50	51	52	53	54	55
11107503	111	75	3	0	48	49	50	51	52	53	54	55	56
11107504	111	75	4	0	49	50	51	52	53	54	55	56	57
11107505	111	75	5	0	50	51	52	53	54	55	56	57	58
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
