//属性ID	装备等级	装备品质	装备等阶	生命值	内力值	体力值	攻击值	防御值	暴击值	闪避值	移动速度	攻击速度	伤害减免	绝对伤害	防御无视值	暴击倍数	 冰伤害	冰抗性	火伤害	火抗性	玄伤害	玄抗性	毒伤害	毒抗性
//绿色																								
75408	75	4	8	817	148	21	106	68	38	58	74	74	39	20	98	431	0	0	0	0	0	0	0	0
75409	75	4	9	920	167	24	120	77	43	65	83	83	44	22	111	485	0	0	0	0	0	0	0	0
75410	75	4	10	1022	185	26	133	86	48	72	92	92	49	25	123	538	0	0	0	0	0	0	0	0
//橙色																	0	0	0	0	0	0	0	0
10501	10	5	1	19	4	0	2	1	0	1	2	2	1	1	3	13	0	0	0	0	0	0	0	0
10502	10	5	2	38	8	1	5	3	1	2	5	5	2	1	6	27	0	0	0	0	0	0	0	0
10503	10	5	3	57	12	2	7	5	2	4	7	7	4	2	9	40	0	0	0	0	0	0	0	0
10504	10	5	4	76	16	3	10	7	3	5	9	9	5	2	12	54	0	0	0	0	0	0	0	0
10505	10	5	5	95	20	4	13	9	4	7	12	12	6	3	15	67	0	0	0	0	0	0	0	0
10506	10	5	6	114	24	4	15	10	5	8	14	14	7	4	18	81	0	0	0	0	0	0	0	0
10507	10	5	7	133	28	5	18	12	6	9	16	16	9	4	22	94	0	0	0	0	0	0	0	0
10508	10	5	8	152	32	6	20	14	7	11	18	18	10	5	25	108	0	0	0	0	0	0	0	0
10509	10	5	9	171	36	7	23	16	8	12	21	21	11	6	28	121	0	0	0	0	0	0	0	0
10510	10	5	10	190	40	8	26	18	9	14	23	23	12	6	31	135	0	0	0	0	0	0	0	0
20501	20	5	1	32	6	1	4	2	1	2	3	3	2	1	5	20	0	0	0	0	0	0	0	0
20502	20	5	2	65	12	2	8	5	3	4	7	7	4	2	9	40	0	0	0	0	0	0	0	0
20503	20	5	3	97	19	3	13	8	4	7	10	10	5	3	14	61	0	0	0	0	0	0	0	0
20504	20	5	4	130	25	4	17	11	6	9	14	14	7	4	18	81	0	0	0	0	0	0	0	0
20505	20	5	5	163	32	5	21	14	7	11	17	17	9	5	23	101	0	0	0	0	0	0	0	0
20506	20	5	6	195	38	6	26	17	9	14	21	21	11	6	28	121	0	0	0	0	0	0	0	0
20507	20	5	7	228	44	7	30	20	10	16	24	24	13	7	32	141	0	0	0	0	0	0	0	0
20508	20	5	8	260	51	8	34	23	12	18	28	28	15	7	37	162	0	0	0	0	0	0	0	0
20509	20	5	9	293	57	10	39	26	13	21	31	31	16	8	42	182	0	0	0	0	0	0	0	0
20510	20	5	10	326	64	11	43	29	15	23	35	35	18	9	46	202	0	0	0	0	0	0	0	0
30501	30	5	1	46	8	1	6	4	2	3	5	5	2	1	6	27	0	0	0	0	0	0	0	0
30502	30	5	2	92	17	2	12	8	4	6	9	9	5	2	12	54	0	0	0	0	0	0	0	0
30503	30	5	3	138	26	4	18	12	6	9	14	14	7	4	18	81	0	0	0	0	0	0	0	0
30504	30	5	4	184	35	5	24	16	8	13	18	18	10	5	25	108	0	0	0	0	0	0	0	0
30505	30	5	5	231	44	7	30	20	10	16	23	23	12	6	31	135	0	0	0	0	0	0	0	0
30506	30	5	6	277	52	8	36	24	13	19	28	28	15	7	37	162	0	0	0	0	0	0	0	0
30507	30	5	7	323	61	10	42	28	15	23	32	32	17	9	43	188	0	0	0	0	0	0	0	0
30508	30	5	8	369	70	11	48	32	17	26	37	37	19	10	49	215	0	0	0	0	0	0	0	0
30509	30	5	9	415	79	12	55	36	19	29	42	42	22	11	55	242	0	0	0	0	0	0	0	0
30510	30	5	10	462	88	14	61	40	21	33	46	46	24	12	62	269	0	0	0	0	0	0	0	0
40501	40	5	1	59	11	1	7	5	2	4	6	6	3	2	8	34	0	0	0	0	0	0	0	0
40502	40	5	2	119	22	3	15	10	5	8	12	12	6	3	15	67	0	0	0	0	0	0	0	0
40503	40	5	3	179	33	5	23	15	8	12	17	17	9	5	23	101	0	0	0	0	0	0	0	0
40504	40	5	4	239	44	7	31	20	11	17	23	23	12	6	31	135	0	0	0	0	0	0	0	0
40505	40	5	5	299	56	8	39	25	14	21	29	29	15	8	38	168	0	0	0	0	0	0	0	0
40506	40	5	6	358	67	10	47	30	16	25	35	35	18	9	46	202	0	0	0	0	0	0	0	0
40507	40	5	7	418	78	12	55	36	19	29	40	40	21	11	54	236	0	0	0	0	0	0	0	0
40508	40	5	8	478	89	14	63	41	22	34	46	46	24	12	62	269	0	0	0	0	0	0	0	0
40509	40	5	9	538	100	15	70	46	25	38	52	52	27	14	69	303	0	0	0	0	0	0	0	0
40510	40	5	10	598	112	17	78	51	28	42	58	58	30	16	77	337	0	0	0	0	0	0	0	0
50501	50	5	1	73	13	2	9	6	3	5	7	7	4	2	9	40	0	0	0	0	0	0	0	0
50502	50	5	2	146	27	4	19	12	6	10	14	14	7	4	18	81	0	0	0	0	0	0	0	0
50503	50	5	3	220	40	6	28	18	10	15	21	21	11	6	28	121	0	0	0	0	0	0	0	0
50504	50	5	4	293	54	8	38	25	13	20	28	28	15	7	37	162	0	0	0	0	0	0	0	0
50505	50	5	5	367	68	10	48	31	17	26	35	35	18	9	46	202	0	0	0	0	0	0	0	0
50506	50	5	6	440	81	12	57	37	20	31	42	42	22	11	55	242	0	0	0	0	0	0	0	0
50507	50	5	7	513	95	14	67	43	24	36	48	48	26	13	65	283	0	0	0	0	0	0	0	0
50508	50	5	8	587	108	16	77	50	27	41	55	55	29	15	74	323	0	0	0	0	0	0	0	0
50509	50	5	9	660	122	18	86	56	31	47	62	62	33	17	83	363	0	0	0	0	0	0	0	0
50510	50	5	10	734	136	20	96	62	34	52	69	69	37	19	92	404	0	0	0	0	0	0	0	0
60501	60	5	1	87	16	2	11	7	4	6	8	8	4	2	11	47	0	0	0	0	0	0	0	0
60502	60	5	2	174	32	4	22	14	8	12	16	16	9	4	22	94	0	0	0	0	0	0	0	0
60503	60	5	3	261	48	7	34	22	12	18	24	24	13	7	32	141	0	0	0	0	0	0	0	0
60504	60	5	4	348	64	9	45	29	16	24	32	32	17	9	43	188	0	0	0	0	0	0	0	0
60505	60	5	5	435	80	12	57	37	20	31	40	40	21	11	54	236	0	0	0	0	0	0	0	0
60506	60	5	6	522	96	14	68	44	24	37	48	48	26	13	65	283	0	0	0	0	0	0	0	0
60507	60	5	7	609	112	16	79	51	28	43	57	57	30	15	75	330	0	0	0	0	0	0	0	0
60508	60	5	8	696	128	19	91	59	32	49	65	65	34	17	86	377	0	0	0	0	0	0	0	0
60509	60	5	9	783	144	21	102	66	36	55	73	73	38	20	97	424	0	0	0	0	0	0	0	0
60510	60	5	10	870	160	24	114	74	41	62	81	81	43	22	108	471	0	0	0	0	0	0	0	0
65501	65	5	1	100	18	2	13	8	4	7	9	9	5	2	12	54	0	0	0	0	0	0	0	0
65502	65	5	2	201	36	5	26	17	9	14	18	18	10	5	25	108	0	0	0	0	0	0	0	0
65503	65	5	3	301	55	8	39	25	14	21	28	28	15	7	37	162	0	0	0	0	0	0	0	0
65504	65	5	4	402	73	10	52	34	18	28	37	37	19	10	49	215	0	0	0	0	0	0	0	0
65505	65	5	5	503	92	13	65	42	23	35	46	46	24	12	62	269	0	0	0	0	0	0	0	0
65506	65	5	6	603	110	16	78	51	28	42	55	55	29	15	74	323	0	0	0	0	0	0	0	0
65507	65	5	7	704	128	19	92	59	33	50	65	65	34	17	86	377	0	0	0	0	0	0	0	0
65508	65	5	8	804	147	21	105	68	37	57	74	74	39	20	98	431	0	0	0	0	0	0	0	0
65509	65	5	9	905	165	24	118	76	42	64	83	83	44	22	111	485	0	0	0	0	0	0	0	0
65510	65	5	10	1006	184	27	131	85	47	71	92	92	49	25	123	538	0	0	0	0	0	0	0	0
70501	70	5	1	114	20	3	14	9	5	8	10	10	5	3	14	61	0	0	0	0	0	0	0	0
70502	70	5	2	228	41	6	29	19	10	16	21	21	11	6	28	121	0	0	0	0	0	0	0	0
70503	70	5	3	342	62	9	44	28	16	24	31	31	16	8	42	182	0	0	0	0	0	0	0	0
70504	70	5	4	456	83	12	59	38	21	32	42	42	22	11	55	242	0	0	0	0	0	0	0	0
70505	70	5	5	571	104	15	74	48	26	40	52	52	27	14	69	303	0	0	0	0	0	0	0	0
70506	70	5	6	685	124	18	89	57	32	48	62	62	33	17	83	363	0	0	0	0	0	0	0	0
70507	70	5	7	799	145	21	104	67	37	56	73	73	38	20	97	424	0	0	0	0	0	0	0	0
70508	70	5	8	913	166	24	119	77	43	64	83	83	44	22	111	485	0	0	0	0	0	0	0	0
70509	70	5	9	1027	187	27	134	86	48	73	93	93	49	25	125	545	0	0	0	0	0	0	0	0
70510	70	5	10	1142	208	30	149	96	53	81	104	104	55	28	138	606	0	0	0	0	0	0	0	0
75501	75	5	1	127	23	3	16	10	6	9	12	12	6	3	15	67	0	0	0	0	0	0	0	0
75502	75	5	2	255	46	6	33	21	12	18	23	23	12	6	31	135	0	0	0	0	0	0	0	0
75503	75	5	3	383	69	10	50	32	18	27	35	35	18	9	46	202	0	0	0	0	0	0	0	0
75504	75	5	4	511	92	13	66	43	24	36	46	46	24	12	62	269	0	0	0	0	0	0	0	0
75505	75	5	5	639	116	16	83	53	30	45	58	58	30	16	77	337	0	0	0	0	0	0	0	0
75506	75	5	6	766	139	20	100	64	36	54	69	69	37	19	92	404	0	0	0	0	0	0	0	0
75507	75	5	7	894	162	23	116	75	42	63	81	81	43	22	108	471	0	0	0	0	0	0	0	0
75508	75	5	8	1022	185	26	133	86	48	72	92	92	49	25	123	538	0	0	0	0	0	0	0	0
75509	75	5	9	1150	208	30	150	96	54	81	104	104	55	28	138	606	0	0	0	0	0	0	0	0
75510	75	5	10	1278	232	33	166	107	60	90	115	115	61	31	154	673	0	0	0	0	0	0	0	0
