//属性ID	装备类型	装备等级	装备品级(颜色)	1阶增加的属性	2阶增加的属性	3阶增加的属性	4阶增加的属性	5阶增加的属性	6阶增加的属性	7阶增加的属性	8阶增加的属性	9阶增加的属性	10阶增加的属性	1星增加属性	2星增加属性	3星增加属性	4星增加属性	5星增加属性	6星增加属性	7星增加属性	8星增加属性	9星增加属性	10星增加属性	11星增加属性	12星增加属性	生命下限	生命上限	机率	精炼+生命	内力下限	内力上限	机率	精炼+内力	体力下限	体力上限	机率	精炼+体力	攻击下限	攻击上限	机率	精炼+攻击	防御下限	防御上限	机率	精炼+防御	暴击下限	暴击上限	机率	精炼+暴击	闪避下限	闪避上限	机率	精炼+闪避	移动速度下限	移动速度上限	机率	精炼+移动	攻击速度下限	攻击速度上限	机率	精炼+攻击	伤害减免下限	伤害减免上限	机率	精炼+伤害	绝对伤害下限	绝对伤害上限	机率	精炼+绝对伤害	防御无视下限	防御无视上限	机率	精炼+防御	暴击倍数下限	暴击倍数上限	机率	精炼+暴击	冰伤害下限	冰伤害上限	机率	精炼+冰伤害	冰抗性下限	冰抗性上限	机率	精炼+冰抗性	火伤害下限	火伤害上限	机率	精炼+火伤	火抗性下限	火抗性上限	机率	精炼+火抗性	玄伤害下限	玄伤害上限	机率	精炼+玄伤害	玄抗性下限	玄抗性上限	机率	精炼+玄抗性	毒伤害下限	毒伤害上限	机率	精炼+毒伤害	毒抗性下限	毒抗性上限	机率	精炼+毒伤害	随机出1条附加属性几率	出2条附加属性几率	出3条附加属性几率	出4条附加属性几率	出5条附加属性几率	出6条附加属性几率	洗练道具ID	洗练需要的道具数量	洗练需要的钱	洗练可用锁定石ID	洗练扣除可用锁定石数量	精炼道具ID	精炼需要的道具数量	精炼需要的钱
//武器																																																																																																																											
10307002	103	70	2	0	26	39	53	68	82	97	112	128	144	12	25	38	51	64	77	90	102	115	128	128	128	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10307003	103	70	3	0	39	59	80	102	124	146	169	192	216	19	38	57	77	96	115	135	154	173	192	192	192	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10307004	103	70	4	0	52	79	107	136	165	195	225	257	288	27	55	83	111	139	167	195	222	250	278	278	278	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10307005	103	70	5	0	65	99	134	170	207	244	282	321	361	38	77	115	154	192	231	270	308	347	385	385	385	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10307501	103	75	1	0	14	22	30	38	46	54	62	71	80	9	19	28	38	47	57	67	76	86	95	95	95	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10307502	103	75	2	0	29	44	60	76	92	108	125	142	160	14	28	43	57	71	86	100	114	129	143	143	143	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10307503	103	75	3	0	44	67	90	114	138	163	188	214	240	21	43	64	86	107	129	150	172	193	215	215	215	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10307504	103	75	4	0	59	89	120	152	184	217	251	285	320	31	62	93	124	155	186	217	248	280	311	311	311	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10307505	103	75	5	0	73	111	150	190	231	272	314	357	401	43	86	129	172	215	258	301	344	387	430	430	430	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
//裤子																										8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10401001	104	10	1	0	1	2	3	4	5	6	7	9	10	1	2	3	4	5	6	7	8	9	10	10	10	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10401002	104	10	2	0	2	4	6	8	10	12	15	18	21	1	3	4	6	7	9	11	12	14	15	15	15	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10401003	104	10	3	0	4	6	9	12	15	19	23	27	32	2	4	7	9	11	14	16	19	21	23	23	23	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10401004	104	10	4	0	5	8	12	16	21	25	31	36	42	3	6	10	13	17	20	24	27	31	34	34	34	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10401005	104	10	5	0	6	10	15	20	26	32	38	45	53	4	9	14	19	23	28	33	38	43	47	47	47	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10402001	104	20	1	0	2	3	5	6	8	9	11	13	15	1	3	5	6	8	10	11	13	15	16	16	16	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10402002	104	20	2	0	4	7	10	13	16	19	23	27	31	2	5	7	10	12	15	17	20	22	25	25	25	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10402003	104	20	3	0	7	10	15	19	24	29	35	40	46	3	7	11	15	18	22	26	30	33	37	37	37	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10402004	104	20	4	0	9	14	20	26	32	39	46	54	62	5	10	16	21	27	32	38	43	49	54	54	54	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10402005	104	20	5	0	11	18	25	32	40	49	58	68	78	7	15	22	30	37	45	52	60	67	75	75	75	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10403001	104	30	1	0	3	5	7	9	11	13	15	18	20	2	4	6	9	11	13	16	18	20	22	22	22	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10403002	104	30	2	0	6	10	14	18	22	26	31	36	41	3	6	10	13	17	20	24	27	30	34	34	34	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10403003	104	30	3	0	9	15	21	27	33	39	46	54	61	5	10	15	20	25	30	36	41	46	51	51	51	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10403004	104	30	4	0	13	20	28	36	44	53	62	72	82	7	14	22	29	37	44	52	59	66	74	74	74	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10403005	104	30	5	0	16	25	35	45	55	66	78	90	102	10	20	30	41	51	61	72	82	92	102	102	102	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10404001	104	40	1	0	4	6	8	11	14	16	19	22	25	2	5	8	11	14	17	20	23	26	29	29	29	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10404002	104	40	2	0	8	13	17	22	28	33	39	44	50	4	8	13	17	21	26	30	34	39	43	43	43	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10404003	104	40	3	0	12	19	26	34	42	50	58	67	76	6	13	19	26	32	39	45	52	58	65	65	65	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10404004	104	40	4	0	17	26	35	45	56	67	78	89	101	9	18	28	37	47	56	65	75	84	94	94	94	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10404005	104	40	5	0	21	32	44	57	70	83	97	112	127	13	26	39	52	65	78	91	104	117	130	130	130	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10405001	104	50	1	0	5	8	10	13	17	20	23	26	30	3	7	10	14	17	21	24	28	31	35	35	35	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10405002	104	50	2	0	10	16	21	27	34	40	46	53	60	5	10	15	21	26	31	36	42	47	52	52	52	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10405003	104	50	3	0	15	24	32	41	51	60	70	80	90	7	15	23	31	39	47	55	63	71	79	79	79	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10405004	104	50	4	0	21	32	43	55	68	80	93	107	121	11	22	34	45	57	68	79	91	102	114	114	114	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10405005	104	50	5	0	26	40	54	69	85	100	117	134	151	15	31	47	63	79	94	110	126	142	158	158	158	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10406001	104	60	1	0	6	9	12	16	19	23	27	31	35	4	8	12	16	20	24	28	33	37	41	41	41	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10406002	104	60	2	0	12	19	25	32	39	47	54	62	70	6	12	18	24	30	37	43	49	55	61	61	61	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10406003	104	60	3	0	18	28	38	49	59	70	82	93	105	9	18	27	37	46	55	64	74	83	92	92	92	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10406004	104	60	4	0	25	38	51	65	79	94	109	124	140	13	26	40	53	67	80	93	107	120	134	134	134	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10406005	104	60	5	0	31	47	64	81	99	118	136	156	176	18	37	55	74	92	111	129	148	167	185	185	185	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10406501	104	65	1	0	7	11	14	18	22	27	31	35	40	4	9	14	18	23	28	33	37	42	47	47	47	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10406502	104	65	2	0	14	22	29	37	45	54	62	71	80	7	14	21	28	35	42	49	56	63	71	71	71	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10406503	104	65	3	0	21	33	44	56	68	81	93	106	120	10	21	31	42	53	63	74	85	95	106	106	106	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10406504	104	65	4	0	28	44	59	75	91	108	125	142	160	15	30	46	61	76	92	107	123	138	153	153	153	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10406505	104	65	5	0	36	55	74	94	114	135	156	178	200	21	42	63	85	106	127	149	170	191	213	213	213	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10407001	104	70	1	0	8	12	16	21	25	30	35	40	45	5	10	16	21	26	32	37	42	48	53	53	53	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10407002	104	70	2	0	16	24	33	42	51	60	70	80	90	8	16	24	32	40	48	56	64	72	80	80	80	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10407003	104	70	3	0	24	37	50	63	77	91	105	120	135	12	24	36	48	60	72	84	96	108	120	120	120	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10407004	104	70	4	0	32	49	67	85	103	121	140	160	180	17	34	52	69	86	104	121	139	156	173	173	173	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
