//±‡∫≈	√˚≥∆	Õ‚π€±‡∫≈&Õ∑œÒ±‡∫≈	µ»º∂	…˙√¸	ƒ⁄¡¶	 ∆¡¶	∑«’Ω∂∑“∆∂ØÀŸ∂»	’Ω∂∑“∆∂ØÀŸ∂»	÷ÿ…˙ ±º‰£®∫¡√Î£©	ø… ”æ‡¿Î	…ÌÃÂƒ£–Õ¥Û–°	◊‘”…ªÓ∂Ø∑∂Œß	◊∑◊Ÿ∑∂Œß	π•ª˜÷µ	∑¿”˘÷µ	…¡±‹÷µ	±©ª˜÷µ	π•ª˜ÀŸ∂»	π÷ŒÔ¿‡–Õ	π•ª˜¿‡–Õ	–Ø¥¯æ≠—È	–Ø¥¯’Ê∆¯	—™π÷±‰…Ìº∏¬ 	π•π÷±‰…Ìº∏¬ 	∑¿π÷±‰…Ìº∏¬ 	π•ª˜º‰∏Ù£®º‰∏Ù£©	…±π÷»ŒŒÒ∑÷◊È	≥ØœÚΩ«∂»	◊∑ª˜Õ£÷πÃıº˛	“∆∂Ø¿‡–Õ	À—À˜ƒø±Íº‰∏Ù	Õ£¡Ù ±º‰œ¬œﬁ	Õ£¡Ù ±º‰…œœﬁ	ººƒ‹ID	ººƒ‹ID	ººƒ‹ID	ººƒ‹ID	ººƒ‹ID	Ai¿‡–Õ	GROUPID	øπ±©	∆∆ª˜	øπ∆∆	¥©¥Ã	øπ¥©	√¸÷–
//°æ • ﬁπ»°ø	±‡∫≈1-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20051	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20052	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20053	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20054	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20055	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20056	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20057	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20058	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20059	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20060	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20061	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20062	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20063	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20064	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20065	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20066	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20067	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20068	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20069	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20070	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20071	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20072	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20073	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20074	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20075	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20076	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20077	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20078	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20079	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20080	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20081	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20082	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20083	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20084	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20085	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20086	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20087	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20088	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20089	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20090	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20091	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20092	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20093	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20094	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20095	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20096	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20097	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20098	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20099	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20100	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20101	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20102	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20103	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20104	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20105	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20106	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20107	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20108	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20109	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20110	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20111	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20112	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20113	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20114	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20115	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20116	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20117	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20118	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20119	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20120	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20121	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20122	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20123	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20124	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20125	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20126	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20127	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20128	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20129	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20130	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20131	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20132	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20133	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20134	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20135	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20136	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20137	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20138	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20139	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20140	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20141	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20142	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20143	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20144	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20145	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20146	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20147	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20148	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20149	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20150	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20151	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20152	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20153	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20154	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20155	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20156	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20157	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20158	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20159	∂Òƒß ÿŒ¿	301	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20160	∂Òƒß ÿŒ¿	101	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
20161	∂Òƒß ÿŒ¿	201	10	8000	0	0	60	300	10000	500	100	200	500	1	1	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	1	1	1	3	12000	11102	11102	11102	11102	5	1	0	0	0	0	0	0
